question,contexts,answer,baseline_answer,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
Phạm vi điều chỉnh của Nghị định 13/2023/NĐ-CP là gì?,"['Điều 1: Nghị định này quy định về bảo vệ dữ liệu cá nhân và trách nhiệm của cơ quan, tổ chức, cá nhân có liên quan.']","Theo Nghị định 13, nghị định quy định về bảo vệ dữ liệu cá nhân và trách nhiệm của các bên liên quan.",Dữ liệu trả về từ hệ thống cơ bản: Nghị định quy định v...,Nghị định quy định về bảo vệ dữ liệu cá nhân và trách nhiệm của các bên liên quan.,0.45,0.5,0.3,0.4
Dữ liệu cá nhân cơ bản bao gồm những thông tin nào?,"['Điều 2: Dữ liệu cá nhân cơ bản bao gồm: họ tên, ngày sinh, nhóm máu, giới tính...']","Theo Nghị định 13, bao gồm họ tên, ngày tháng năm sinh, nhóm máu, giới tính.","Dữ liệu trả về từ hệ thống cơ bản: Bao gồm họ tên, ngày...","Bao gồm họ tên, ngày tháng năm sinh, nhóm máu, giới tính.",0.45,0.5,0.3,0.4
Dữ liệu cá nhân nhạy cảm là gì?,['Điều 2: Dữ liệu cá nhân nhạy cảm là dữ liệu gắn liền với quyền riêng tư của cá nhân mà khi bị xâm phạm sẽ gây ảnh hưởng trực tiếp tới quyền và lợi ích hợp pháp.'],"Theo Nghị định 13, là dữ liệu gắn với quyền riêng tư, nếu bị xâm phạm sẽ gây ảnh hưởng nghiêm trọng.",Dữ liệu trả về từ hệ thống cơ bản: Là dữ liệu gắn với q...,"Là dữ liệu gắn với quyền riêng tư, nếu bị xâm phạm sẽ gây ảnh hưởng nghiêm trọng.",0.45,0.5,0.3,0.4
Sự khác biệt giữa dữ liệu cá nhân cơ bản và nhạy cảm?,"['Điều 2: Dữ liệu cơ bản gồm họ tên, ngày sinh... Dữ liệu nhạy cảm gồm thông tin sức khỏe, xu hướng tình dục, dữ liệu sinh trắc học...']","Theo Nghị định 13, dữ liệu cơ bản là thông tin nhận diện chung, còn dữ liệu nhạy cảm liên quan đến sức khỏe, sinh trắc học, đời tư sâu sắc.",Dữ liệu trả về từ hệ thống cơ bản: Dữ liệu cơ bản là th...,"Dữ liệu cơ bản là thông tin nhận diện chung, còn dữ liệu nhạy cảm liên quan đến sức khỏe, sinh trắc học, đời tư sâu sắc.",0.45,0.5,0.3,0.4
Chủ thể dữ liệu có những quyền gì?,"['Điều 9: Chủ thể dữ liệu có quyền được biết, quyền đồng ý, quyền truy cập, quyền rút lại sự đồng ý, quyền xóa dữ liệu...']","Theo Nghị định 13, chủ thể có 11 quyền cơ bản bao gồm quyền được biết, đồng ý, truy cập, xóa và khiếu nại.",Dữ liệu trả về từ hệ thống cơ bản: Chủ thể có 11 quyền ...,"Chủ thể có 11 quyền cơ bản bao gồm quyền được biết, đồng ý, truy cập, xóa và khiếu nại.",0.45,0.5,0.3,0.4
Quyền rút lại sự đồng ý được thực hiện thế nào?,['Điều 9: Chủ thể dữ liệu được quyền rút lại sự đồng ý của mình. Việc rút lại không ảnh hưởng đến tính hợp pháp của việc xử lý dữ liệu trước đó.'],"Theo Nghị định 13, có thể rút lại bất kỳ lúc nào nhưng không làm ảnh hưởng đến dữ liệu đã xử lý trước khi rút.",Dữ liệu trả về từ hệ thống cơ bản: Có thể rút lại bất k...,Có thể rút lại bất kỳ lúc nào nhưng không làm ảnh hưởng đến dữ liệu đã xử lý trước khi rút.,0.45,0.5,0.3,0.4
Xử lý dữ liệu cá nhân là gì?,"['Điều 2: Xử lý dữ liệu cá nhân là một hoặc nhiều hoạt động tác động tới dữ liệu như thu thập, ghi, phân tích, lưu trữ...']","Theo Nghị định 13, là các hoạt động như thu thập, lưu trữ, phân tích và xóa dữ liệu cá nhân.",Dữ liệu trả về từ hệ thống cơ bản: Là các hoạt động như...,"Là các hoạt động như thu thập, lưu trữ, phân tích và xóa dữ liệu cá nhân.",0.45,0.5,0.3,0.4
Bên Kiểm soát dữ liệu cá nhân có trách nhiệm gì?,"['Điều 2: Bên Kiểm soát dữ liệu cá nhân là tổ chức, cá nhân quyết định mục đích và phương tiện xử lý dữ liệu cá nhân.']","Theo Nghị định 13, chịu trách nhiệm quyết định mục đích và cách thức (phương tiện) xử lý dữ liệu cá nhân.",Dữ liệu trả về từ hệ thống cơ bản: Chịu trách nhiệm quy...,Chịu trách nhiệm quyết định mục đích và cách thức (phương tiện) xử lý dữ liệu cá nhân.,0.45,0.5,0.3,0.4
Bên Xử lý dữ liệu cá nhân là ai?,"['Điều 2: Bên Xử lý dữ liệu cá nhân là tổ chức, cá nhân thực hiện việc xử lý dữ liệu thay mặt cho Bên Kiểm soát.']","Theo Nghị định 13, là bên thực hiện các thao tác xử lý dữ liệu thay mặt và theo yêu cầu của bên kiểm soát.",Dữ liệu trả về từ hệ thống cơ bản: Là bên thực hiện các...,Là bên thực hiện các thao tác xử lý dữ liệu thay mặt và theo yêu cầu của Bên Kiểm soát.,0.45,0.5,0.3,0.4
Trong trường hợp nào được xử lý dữ liệu mà không cần sự đồng ý?,"['Điều 17: Xử lý dữ liệu không cần sự đồng ý trong trường hợp bảo vệ tính mạng, y tế khẩn cấp, an ninh quốc gia...']","Theo Nghị định 13, trong tình trạng khẩn cấp đe dọa tính mạng, yêu cầu y tế khẩn cấp hoặc an ninh quốc gia.",Dữ liệu trả về từ hệ thống cơ bản: Trong tình trạng khẩ...,"Trong tình trạng khẩn cấp đe dọa tính mạng, yêu cầu y tế khẩn cấp hoặc an ninh quốc gia.",0.45,0.5,0.3,0.4
Mua bán dữ liệu cá nhân bị cấm như thế nào?,"['Điều 8: Nghiêm cấm mua bán dữ liệu cá nhân dưới mọi hình thức, trừ trường hợp luật quy định khác.']","Theo Nghị định 13, nghiêm cấm dưới mọi hình thức, mọi hành vi mua bán trái phép đều vi phạm pháp luật.",Dữ liệu trả về từ hệ thống cơ bản: Nghiêm cấm dưới mọi ...,"Nghiêm cấm dưới mọi hình thức, mọi hành vi mua bán trái phép đều vi phạm pháp luật.",0.8570433645513448,0.9402657023092522,0.8314811722956605,0.9920294854611865
Trách nhiệm báo cáo vi phạm dữ liệu cá nhân?,"['Điều 23: Xảy ra vi phạm, Bên Kiểm soát phải thông báo cho Bộ Công an (A05) chậm nhất 72 giờ sau khi phát hiện.']","Theo Nghị định 13, phải báo cáo cho bộ công an (a05) trong vòng 72 giờ kể từ khi phát hiện vi phạm.",Dữ liệu trả về từ hệ thống cơ bản: Phải báo cáo cho Bộ ...,Phải báo cáo cho Bộ Công an (A05) trong vòng 72 giờ kể từ khi phát hiện vi phạm.,0.8927721286658291,0.8150176601070301,0.8450970031358097,0.880410156042942
